time,tech_level,jolt_effect,governance_effect,risk
0.0,1.0049671415301122,0.0,0.0,1.538203245589645e-08
1.0,1.0498884533643122,0.0,0.0,1.6827975786524347e-08
2.0,1.1116478034566546,0.0,0.0,1.904036929306607e-08
3.0,1.1770645412923633,0.0,0.0,2.1701793303135425e-08
4.0,1.2190612244129364,0.0,0.0,2.3603340819683285e-08
5.0,1.2816840471182496,0.0,0.0,2.675265991384712e-08
6.0,1.365650935731077,0.0,0.0,3.164460502655852e-08
7.0,1.4085778326597937,0.0,0.012799999015549927,3.448144894862638e-08
8.0,1.4322308092690788,0.0,0.036799997077165664,3.6151824562859245e-08
9.0,1.4583100185908386,0.0,0.0735999939317653,3.8087488258721375e-08
10.0,1.4383266968429815,0.0,0.12479998929209307,3.659527720758596e-08
11.0,1.395811170530388,0.0,0.19199998290541836,3.36121680042558e-08
12.0,1.3201759857828481,0.0,0.2767999744117828,2.8893532455850746e-08
13.0,1.166970149113147,0.0,0.38079996333446964,2.1268053558475576e-08
14.0,0.9783502623112309,0.0,0.5055999493170352,1.4584602471765596e-08
15.0,0.7293996743846979,0.0,0.6527999320221135,8.864594323168996e-09
16.0,0.6664363070812185,0.0,0.695999920907834,7.815730575811147e-09
17.0,0.5459407614238324,0.0,0.7679999066307595,6.1419811541216485e-09
18.0,0.38445652298522714,0.0,0.8399998918706331,4.446773951134417e-09
19.0,0.21341973051182725,0.0,0.9119998772076422,3.1585254685250527e-09
20.0,0.05814936998749542,0.0,0.9839998627651735,2.315358591331925e-09
21.0,0.0,0.0,1.0559998500038252,2.0611536181902037e-09
22.0,0.0006752820468792384,0.0,1.1279998405936063,2.063939218895636e-09
23.0,0.0,0.0,1.1999998337131952,2.0611536181902037e-09
24.0,0.0,0.0,1.271999829556071,2.0611536181902037e-09
25.0,0.001109225897098661,0.0,1.343999828982228,2.0657312638888845e-09
26.0,0.0,0.0,1.4159998303163532,2.0611536181902037e-09
27.0,0.0037569801834567195,0.0,1.4879998332196667,2.076699376719769e-09
28.0,0.0,0.0,1.5599998366912995,2.0611536181902037e-09
29.0,0.0,0.0,1.6319998387649655,2.0611536181902037e-09
30.0,0.0,0.0,1.703999839700946,2.0611536181902037e-09
31.0,0.01852278184508938,0.0,1.7759998392783218,2.138942180183477e-09
32.0,0.0,0.0,1.8479998397156228,2.0611536181902037e-09
33.0,0.0,0.0,1.9199998398607794,2.0611536181902037e-09
34.0,0.00822544912103189,0.0,1.9919998396207719,2.09534188940532e-09
35.0,0.0,0.0,2.063999839075922,2.0611536181902037e-09
36.0,0.0020886359500475542,0.0,2.135999838306421,2.0697816254833654e-09
37.0,0.0,0.0,2.207999837525966,2.0611536181902037e-09
38.0,0.0,0.0,2.279999836778738,2.0611536181902037e-09
