time,tech_level,jolt_effect,governance_effect,risk
0.0,1.0049671415301122,0.0,0.0,1.538203245589645e-08
1.0,1.0498884533643122,0.0,0.0,1.6827975786524347e-08
2.0,1.1116478034566546,0.0,0.0,1.904036929306607e-08
3.0,1.1770645412923633,0.0,0.0,2.1701793303135425e-08
4.0,1.2190612244129364,0.0,0.0,2.3603340819683285e-08
5.0,1.2816840471182496,0.0,0.0,2.675265991384712e-08
6.0,1.365650935731077,0.0,0.0,3.164460502655852e-08
7.0,1.4267418958847864,0.0,0.0,3.575712653674421e-08
8.0,1.487129953781921,0.0,0.0,4.034734947324243e-08
9.0,1.5737377859260286,0.0,0.0,4.797794186570641e-08
10.0,1.6440870937720036,0.0,0.0,5.522633756337281e-08
11.0,1.7285957203316926,0.0,0.0,6.539574611365981e-08
12.0,1.8245384231061694,0.0,0.0,7.92290166788149e-08
13.0,1.8964080265673182,0.0,0.0,9.147647163413116e-08
14.0,1.9965035291453463,0.0,0.0,1.1175095546574256e-07
15.0,2.111377141320265,0.0,0.0,1.4061420126036954e-07
16.0,2.2154126172891235,0.0,0.0,1.7313833485114277e-07
17.0,2.342789325251944,0.0,0.0,2.233732779188334e-07
18.0,2.4505228704017377,0.0,0.0,2.770813930270949e-07
19.0,2.5715866223024935,0.0,0.0,3.5298964723663817e-07
20.0,2.7329383161482608,0.0,0.0,4.874277049075133e-07
21.0,2.8553933550582986,0.0,0.0,6.226919438661708e-07
22.0,3.004841305993313,0.0,0.0,8.396184893439155e-07
23.0,3.1439454278276333,0.0,0.0,1.1089352322052066e-06
24.0,3.314673095491296,0.0,0.0,1.5602642355509639e-06
25.0,3.4914521833589403,0.0,0.0,2.2220111354722737e-06
26.0,3.6577867318450212,0.0,0.0,3.0990044744616235e-06
27.0,3.861182510880431,0.0,0.0,4.654669573367497e-06
28.0,4.049193579945487,0.0,0.0,6.779415836393945e-06
29.0,4.260197577670886,0.0,0.0,1.033871280657729e-05
30.0,4.47567200421577,0.0,0.0,1.5908262971926516e-05
31.0,4.729992964435831,0.0,0.0,2.6455657533237324e-05
32.0,4.952897452147735,0.0,0.0,4.131659126389471e-05
33.0,5.19640271789029,0.0,0.0,6.723868508481434e-05
34.0,5.482172840848233,0.0,0.0,0.00011907304871435661
35.0,5.74239423950602,0.0,0.0,0.00020035657624483286
36.0,6.051736100362994,0.0,0.0,0.0003718947167786986
37.0,6.340222821363034,0.0,0.0,0.0006620188055134956
38.0,6.672612581790286,0.0,0.0,0.0012862016441924549
39.0,7.030656192947986,0.0,0.0,0.002628558627367939
40.0,7.396440764730604,0.0,0.0,0.005447595510972409
41.0,7.769614789118674,0.0,0.0,0.011421500980442164
42.0,8.165013429743768,0.0,0.0,0.024844194856451597
43.0,8.581847360222,0.0,0.0,0.055393547131924126
